0.00	 0.00380  0.00394  0.00391  0.00393  0.00367  0.00395  0.00380  0.00382  0.00391  0.00383
0.08	 0.00290  0.00334  0.00294  0.00336  0.00311  0.00310  0.00322  0.00310  0.00288  0.00326
0.13	 0.00272  0.00288  0.00270  0.00283  0.00272  0.00279  0.00273  0.00297  0.00274  0.00289
0.25	 0.00209  0.00192  0.00195  0.00201  0.00188  0.00214  0.00192  0.00209  0.00196  0.00192
0.30	 0.00159  0.00167  0.00165  0.00166  0.00151  0.00166  0.00160  0.00166  0.00171  0.00164
0.36	 0.00113  0.00130  0.00128  0.00138  0.00123  0.00127  0.00124  0.00120  0.00112  0.00121
0.40	 0.00109  0.00105  0.00098  0.00105  0.00103  0.00107  0.00099  0.00098  0.00104  0.00106
0.46	 0.00065  0.00082  0.00057  0.00082  0.00055  0.00082  0.00081  0.00057  0.00078  0.00062
0.55	 0.00033  0.00063  0.00031  0.00050  0.00045  0.00032  0.00060  0.00026  0.00048  0.00041
0.66	 0.00038  0.00005  0.00013  0.00035  0.00007  0.00053  0.00000  0.00030  0.00032  0.00015
0.82	 0.00006  0.00018  0.00005  0.00001  0.00004  0.00008  0.00002  0.00006  0.00009  0.00004
0.88	-0.00021 -0.00041 -0.00029 -0.00031 -0.00028 -0.00023 -0.00029 -0.00041 -0.00033 -0.00032
0.96	-0.00039 -0.00046 -0.00042 -0.00048 -0.00042 -0.00036 -0.00044 -0.00034 -0.00049 -0.00055
1.09	-0.00016 -0.00022 -0.00009 -0.00023 -0.00010 -0.00014 -0.00019 -0.00017 -0.00016 -0.00009
1.27	-0.00000 -0.00027 -0.00012 -0.00024 -0.00018 -0.00023 -0.00029 -0.00023 -0.00028 -0.00014
1.53	-0.00021 -0.00012 -0.00011 -0.00015 -0.00001 -0.00040 -0.00009 -0.00020 -0.00012 -0.00003
