0.00	0.00372 0.00370 0.00376 0.00380 0.00376 0.00405 0.00385 0.00395 0.00396 0.00387 0.00393 0.00372
0.09	0.00297 0.00309 0.00294 0.00300 0.00312 0.00296 0.00316 0.00303 0.00316 0.00302 0.00306 0.00307
0.13	0.00264 0.00279 0.00265 0.00290 0.00287 0.00276 0.00287 0.00268 0.00294 0.00272 0.00284 0.00289
0.19	0.00228 0.00231 0.00233 0.00238 0.00236 0.00229 0.00237 0.00234 0.00241 0.00229 0.00238 0.00245
0.25	0.00193 0.00197 0.00195 0.00201 0.00189 0.00193 0.00194 0.00187 0.00207 0.00193 0.00193 0.00193
0.33	0.00138 0.00127 0.00151 0.00128 0.00144 0.00127 0.00143 0.00147 0.00140 0.00141 0.00119 0.00151 
0.39	0.00098 0.00105 0.00100 0.00098 0.00092 0.00096 0.00106 0.00100 0.00094 0.00098 0.00099 0.00106
0.45	0.00048 0.00067 0.00048 0.00058 0.00072 0.00061 0.00069 0.00057 0.00071 0.00059 0.00057 0.00065
0.48	0.00047 0.00042 0.00069 0.00049 0.00058 0.00052 0.00068 0.00057 0.00051 0.00072 0.00050 0.00079 
0.55	0.00028 0.00023 0.00034 0.00006 0.00030 0.00018 0.00024 0.00037 0.00021 0.00042 0.00007 0.00039
0.60	0.00006 0.00017 -0.00009 0.00010 0.00003 0.00011 0.00022 0.00011 0.00005 -0.00008 0.00015 0.00007 
0.66	-0.00015 -0.00001 -0.00024 -0.00018 0.00001 -0.00019 -0.00003 -0.00029 -0.00009 -0.00022 -0.00019 
0.70	-0.00006 -0.00007 -0.00009 0.00000 -0.00012 0.00003 0.00012 -0.00019 -0.00005 0.00000 -0.00001 
0.79	-0.00032 -0.00013 -0.00009 -0.00021 -0.00015 -0.00032 0.00004 -0.00034 -0.00017 -0.00013 -0.00022
0.87	0.00001 -0.00017 0.00006 -0.00023 -0.00008 -0.00005 -0.00017 -0.00003 -0.00024 0.00004 -0.00017
0.94	-0.00032 -0.00021 -0.00035 -0.00027 -0.00066 -0.00001 -0.00038 -0.00026 -0.00033 -0.00051 -0.00002 
1.04	-0.00075 -0.00073 -0.00075 -0.00069 -0.00059 -0.00068 -0.00067 -0.00087 -0.00047 -0.00078 -0.00047 
1.12	-0.00054 -0.00065 -0.00064 -0.00051 -0.00057 -0.00056 -0.00066 -0.00062 -0.00056 -0.00068 -0.00066 
1.22	-0.00079 -0.00049 -0.00101 -0.00047 -0.00078 -0.00041 -0.00051 -0.00060 -0.00030 -0.00074 -0.00047
1.37	-0.00052 0.00007 -0.00044 -0.00041 -0.00019 -0.00044 0.00000 -0.00044 -0.00033 -0.00017 -0.00022
1.54	-0.00070 -0.00048 -0.00033 -0.00045 -0.00033 -0.00039 -0.00057 -0.00027 -0.00038 -0.00024 -0.00045 
1.70	-0.00037 -0.00039 -0.00032 -0.00016 -0.00042 -0.00051 -0.00044 -0.00013 -0.00040 -0.00030 -0.00026 
1.88	-0.00037 -0.00036 -0.00033 -0.00037 -0.00041 -0.00037 -0.00030 -0.00032 -0.00031 -0.00038 -0.00029
2.02 	-0.00067 -0.00050 -0.00081 -0.00029 -0.00072 -0.00034 -0.00073 -0.00061 0.00000 -0.00055 -0.00013 
2.20	-0.00059 -0.00070 -0.00072 -0.00043 -0.00065 -0.00057 -0.00070 -0.00053 -0.00050 -0.00069 -0.00044 
