0.00	 0.55286  0.55283  0.55308  0.55311  0.55335  0.55344  0.55365  0.55369  0.55346  0.55372
0.08	 0.47141  0.47107  0.47119  0.47124  0.47113  0.47127  0.47098  0.47150  0.47144  0.47160
0.13	 0.41185  0.41218  0.41189  0.41190  0.41193  0.41185  0.41213  0.41188  0.41218  0.41187
0.25	 0.30456  0.30427  0.30447  0.30443  0.30473  0.30426  0.30471  0.30460  0.30513  0.30489
0.30	 0.25899  0.25907  0.25893  0.25909  0.25901  0.25900  0.25919  0.25899  0.25925  0.25919
0.36	 0.20998  0.20981  0.20998  0.20978  0.20979  0.20990  0.20981  0.20995  0.20975  0.20987
0.40	 0.17909  0.17913  0.17904  0.17903  0.17901  0.17911  0.17896  0.17913  0.17910  0.17900
0.46	 0.14129  0.14142  0.14129  0.14131  0.14135  0.14134  0.14149  0.14124  0.14145  0.14131
0.55	 0.08866  0.08852  0.08861  0.08865  0.08873  0.08869  0.08862  0.08868  0.08874  0.08876
0.66	 0.03783  0.03756  0.03740  0.03799  0.03746  0.03763  0.03785  0.03758  0.03808  0.03759
0.82	 0.00125  0.00140  0.00129  0.00127  0.00128  0.00126  0.00136  0.00133  0.00127  0.00140
0.88	-0.00318 -0.00326 -0.00328 -0.00330 -0.00324 -0.00315 -0.00317 -0.00316 -0.00326 -0.00317
0.96	-0.00566 -0.00585 -0.00556 -0.00574 -0.00573 -0.00565 -0.00567 -0.00549 -0.00590 -0.00576
1.09	-0.00669 -0.00663 -0.00673 -0.00671 -0.00672 -0.00675 -0.00670 -0.00674 -0.00669 -0.00682
1.27	-0.00717 -0.00721 -0.00717 -0.00720 -0.00712 -0.00720 -0.00709 -0.00711 -0.00713 -0.00708
1.53	-0.00739 -0.00732 -0.00744 -0.00721 -0.00746 -0.00734 -0.00733 -0.00744 -0.00717 -0.00750
