0.00	 0.00386  0.00345  0.00379  0.00377  0.00369  0.00377  0.00357  0.00379  0.00364  0.00382
0.05	 0.00331  0.00336  0.00332  0.00339  0.00330  0.00335  0.00323  0.00332  0.00327  0.00326
0.07	 0.00313  0.00296  0.00302  0.00288  0.00306  0.00295  0.00317  0.00296  0.00293  0.00335
0.09	 0.00269  0.00293  0.00277  0.00287  0.00285  0.00283  0.00282  0.00280  0.00276  0.00279
0.12	 0.00294  0.00307  0.00296  0.00305  0.00299  0.00314  0.00305  0.00322  0.00309  0.00316
0.14	 0.00285  0.00286  0.00280  0.00311  0.00265  0.00303  0.00272  0.00293  0.00299  0.00291
0.16	 0.00216  0.00238  0.00199  0.00237  0.00204  0.00226  0.00219  0.00211  0.00226  0.00210
0.20	 0.00195  0.00202  0.00180  0.00178  0.00179  0.00175  0.00193  0.00177  0.00189  0.00192
0.25	 0.00181  0.00176  0.00189  0.00198  0.00192  0.00198  0.00186  0.00190  0.00195  0.00183
0.29	 0.00114  0.00122  0.00150  0.00151  0.00159  0.00150  0.00157  0.00151  0.00144  0.00153
0.31	 0.00127  0.00130  0.00125  0.00128  0.00131  0.00124  0.00130  0.00131  0.00123  0.00135
0.35	 0.00069  0.00088  0.00040  0.00095  0.00063  0.00090  0.00091  0.00072  0.00093  0.00068
0.40	 0.00065  0.00060  0.00074  0.00041  0.00078  0.00103  0.00111  0.00069  0.00024  0.00059
0.45	 0.00018  0.00019  0.00055  0.00048 -0.00014 -0.00006  0.00035  0.00002  0.00053  0.00018
0.55	-0.00025 -0.00068 -0.00014 -0.00009 -0.00026 -0.00004 -0.00035 -0.00000 -0.00038 -0.00003
0.62	 0.00037  0.00032  0.00016  0.00008 -0.00024 -0.00007  0.00000 -0.00015  0.00000 -0.00016
0.73	-0.00042 -0.00018 -0.00030 -0.00012 -0.00070 -0.00035 -0.00070 -0.00047 -0.00041 -0.00038
0.87	-0.00000 -0.00031 -0.00049 -0.00040 -0.00051 -0.00035 -0.00027 -0.00026 -0.00009 -0.00030
