0.00	0.35769 0.35793 0.35796 0.35788 0.35805 0.35770 0.35811 0.35803 0.35821 0.35818 0.35804 0.35821
0.09	0.30197 0.30219 0.30189 0.30211 0.30183 0.30209 0.30221 0.30193 0.30204 0.30205 0.30213 0.30220
0.13	0.28393 0.28403 0.28383 0.28393 0.28398 0.28402 0.28396 0.28408 0.28392 0.28386 0.28396 0.28379
0.19	0.24758 0.24749 0.24754 0.24772 0.24782 0.24763 0.24745 0.24768 0.24769 0.24768 0.24753 0.24758 
0.25	0.21747 0.21750 0.21753 0.21755 0.21752 0.21757 0.21815 0.21750 0.21750 0.21750 0.21750 0.21750 
0.33	0.17721 0.17724 0.17722 0.17872 0.17926 0.17917 0.17923 0.17896 0.17920 0.17922 0.17901 0.17911 
0.39	0.15500 0.15504 0.15495 0.15505 0.15512 0.15505 0.15513 0.15494 0.15507 0.15519 0.15514 0.15508 
0.45	0.13089 0.13092 0.13133 0.13080 0.13102 0.13105 0.13100 0.13109 0.13104 0.13108 0.13097 0.13115 
0.48	0.11980 0.11916 0.12009 0.11990 0.12017 0.12019 0.11962 0.12046 0.12001 0.12015 0.11986 0.11998 
0.55	0.09563 0.09550 0.09587 0.09601 0.09587 0.09511 0.09578 0.09581 0.09546 0.09562 0.09554 0.09611
0.60	0.07797 0.07790 0.07787 0.07781 0.07793 0.07785 0.07795 0.07783 0.07796 0.07782 0.07796 0.07789 
0.66	0.05896 0.05891 0.05882 0.05897 0.05885 0.05895 0.05894 0.05885 0.05898 0.05878 0.05898 0.05890
0.70	0.04921 0.04907 0.04933 0.04938 0.04956 0.04915 0.04940 0.04950 0.04921 0.04923 0.04909 0.04943
0.79	0.02864 0.02884 0.02859 0.02853 0.02844 0.02872 0.02862 0.02841 0.02864 0.02823 0.02862 0.02840 
0.87	0.01537 0.01528 0.01533 0.01519 0.01531 0.01530 0.01533 0.01534 0.01545 0.01537 0.01515 0.01530
0.94	0.00634 0.00579 0.00605 0.00613 0.00576 0.00609 0.00594 0.00604 0.00522 0.00534 0.00666 0.00676 
1.04	-0.00046 -0.00071 -0.00065 -0.00097 -0.00062 -0.00066 -0.00070 -0.00056 -0.00063 -0.00045 -0.00066 
1.12	-0.00259 -0.00272 -0.00269 -0.00262 -0.00268 -0.00262 -0.00264 -0.00268 -0.00270 -0.00269 -0.00276 
1.22	-0.00352 -0.00348 -0.00406 -0.00340 -0.00339 -0.00340 -0.00336 -0.00338 -0.00330 -0.00343 -0.00336
1.37	-0.00377 -0.00359 -0.00369 -0.00390 -0.00378 -0.00391 -0.00408 -0.00370 -0.00394 -0.00391 -0.00372 
1.54	-0.00402 -0.00391 -0.00419 -0.00366 -0.00417 -0.00409 -0.00407 -0.00398 -0.00393 -0.00422 -0.00369
1.70	-0.00424 -0.00391 -0.00428 -0.00416 -0.00415 -0.00418 -0.00407 -0.00426 -0.00409 -0.00423 -0.00413
1.88	-0.00416 -0.00427 -0.00433 -0.00412 -0.00418 -0.00430 -0.00414 -0.00419 -0.00401 -0.00406 -0.00412
2.02	-0.00432 -0.00417 -0.00428 -0.00414 -0.00446 -0.00409 -0.00428 -0.00409 -0.00419 -0.00435 -0.00408
2.20	-0.00429 -0.00440 -0.00397 -0.00433 -0.00441 -0.00444 -0.00417 -0.00410 -0.00434 -0.00403 -0.00430
