X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-1.200000e-01,2.000000e-04
155,1.19e+00,4.40e+01,
156,1.14e+00,4.00e+01,
157,1.20e+00,4.60e+01,
158,1.16e+00,4.20e+01,
159,1.22e+00,4.80e+01,
160,1.25e+00,4.60e+01,
161,1.19e+00,5.00e+01,
162,1.20e+00,4.80e+01,
163,1.28e+00,5.00e+01,
164,1.25e+00,5.20e+01,
165,1.33e+00,4.80e+01,
166,1.30e+00,5.00e+01,
167,1.37e+00,5.40e+01,
168,1.32e+00,5.20e+01,
169,1.40e+00,5.60e+01,
170,1.36e+00,5.20e+01,
171,1.44e+00,5.80e+01,
172,1.36e+00,5.40e+01,
173,1.46e+00,5.80e+01,
174,1.41e+00,5.60e+01,
175,1.48e+00,6.00e+01,
176,1.44e+00,5.60e+01,
177,1.53e+00,6.20e+01,
178,1.55e+00,6.20e+01,
179,1.48e+00,5.80e+01,
180,1.50e+00,6.00e+01,
181,1.58e+00,6.40e+01,
182,1.60e+00,6.20e+01,
183,1.50e+00,6.60e+01,
184,1.54e+00,6.20e+01,
185,1.60e+00,6.80e+01,
186,1.54e+00,6.60e+01,
187,1.61e+00,7.00e+01,
188,1.62e+00,6.80e+01,
189,1.54e+00,7.20e+01,
190,1.52e+00,6.80e+01,
191,1.60e+00,7.40e+01,
192,1.60e+00,7.00e+01,
193,1.51e+00,7.40e+01,
194,1.58e+00,7.20e+01,
195,1.52e+00,7.60e+01,
196,1.56e+00,7.40e+01,
197,1.46e+00,7.80e+01,
198,1.54e+00,7.80e+01,
199,1.47e+00,7.40e+01,
200,1.53e+00,7.60e+01,
201,1.44e+00,8.00e+01,
202,1.50e+00,7.80e+01,
203,1.42e+00,8.20e+01,
204,1.46e+00,7.80e+01,
205,1.39e+00,8.40e+01,
206,1.42e+00,8.60e+01,
207,1.30e+00,8.00e+01,
208,1.34e+00,8.40e+01,
209,1.28e+00,8.80e+01,
210,1.31e+00,8.40e+01,
211,1.24e+00,9.00e+01,
212,1.28e+00,8.60e+01,
213,1.23e+00,9.00e+01,
214,1.27e+00,8.80e+01,
215,1.18e+00,9.20e+01,
216,1.25e+00,9.00e+01,
217,1.18e+00,9.40e+01,
218,1.22e+00,9.40e+01,
219,1.15e+00,9.00e+01,
220,1.19e+00,9.20e+01,
221,1.13e+00,9.60e+01,
222,1.16e+00,9.40e+01,
223,1.11e+00,9.80e+01,
224,1.16e+00,9.40e+01,
225,1.08e+00,1.00e+02,
226,1.08e+00,9.60e+01,
227,1.14e+00,1.00e+02,
228,1.15e+00,1.00e+02,
229,1.10e+00,9.80e+01,
