t,x
1.86E+01,1.45E-02
1.86E+01,4.35E-04
1.86E+01,-6.42E-03
1.87E+01,7.24E-03
1.87E+01,4.27E-02
1.87E+01,2.85E-02
1.87E+01,2.15E-02
1.87E+01,3.58E-02
1.87E+01,7.11E-02
1.88E+01,5.72E-02
1.88E+01,4.97E-02
1.88E+01,6.42E-02
1.88E+01,9.91E-02
1.88E+01,8.54E-02
1.88E+01,7.84E-02
1.89E+01,9.21E-02
1.89E+01,1.26E-01
1.89E+01,1.13E-01
1.89E+01,1.06E-01
1.89E+01,1.19E-01
1.89E+01,1.50E-01
1.90E+01,1.38E-01
1.90E+01,1.32E-01
1.90E+01,1.44E-01
1.90E+01,1.72E-01
1.90E+01,1.61E-01
1.90E+01,1.56E-01
1.91E+01,1.66E-01
1.91E+01,1.90E-01
1.91E+01,1.81E-01
1.91E+01,1.76E-01
1.91E+01,1.85E-01
1.91E+01,2.05E-01
1.92E+01,1.98E-01
1.92E+01,1.94E-01
1.92E+01,2.01E-01
1.92E+01,2.15E-01
1.92E+01,2.10E-01
1.92E+01,2.07E-01
1.93E+01,2.12E-01
1.93E+01,2.21E-01
1.93E+01,2.18E-01
1.93E+01,2.16E-01
1.93E+01,2.20E-01
1.93E+01,2.23E-01
1.94E+01,2.23E-01
1.94E+01,2.22E-01
1.94E+01,2.23E-01
1.94E+01,2.20E-01
1.94E+01,2.22E-01
1.94E+01,2.23E-01
1.95E+01,2.21E-01
1.95E+01,2.13E-01
1.95E+01,2.17E-01
1.95E+01,2.19E-01
1.95E+01,2.15E-01
1.95E+01,2.01E-01
1.96E+01,2.07E-01
1.96E+01,2.10E-01
1.96E+01,2.04E-01
1.96E+01,1.86E-01
1.96E+01,1.94E-01
1.96E+01,1.98E-01
1.97E+01,1.90E-01
1.97E+01,1.66E-01
1.97E+01,1.76E-01
1.97E+01,1.81E-01
1.97E+01,1.71E-01
1.97E+01,1.44E-01
1.98E+01,1.55E-01
1.98E+01,1.61E-01
1.98E+01,1.50E-01
1.98E+01,1.19E-01
1.98E+01,1.32E-01
1.98E+01,1.38E-01
1.99E+01,1.26E-01
1.99E+01,9.23E-02
1.99E+01,1.06E-01
1.99E+01,1.13E-01
1.99E+01,9.94E-02
1.99E+01,6.48E-02
2.00E+01,7.89E-02
2.00E+01,8.62E-02
2.00E+01,7.21E-02
2.00E+01,3.65E-02
2.00E+01,5.09E-02
2.00E+01,5.81E-02
2.01E+01,4.38E-02
2.01E+01,8.39E-03
2.01E+01,2.26E-02
2.01E+01,2.95E-02
2.01E+01,1.56E-02
2.01E+01,-1.87E-02
2.02E+01,-5.12E-03
2.02E+01,1.68E-03
2.02E+01,-1.20E-02
2.02E+01,-4.40E-02
2.02E+01,-3.18E-02
2.02E+01,-2.53E-02
2.03E+01,-3.77E-02
2.03E+01,-6.71E-02
2.03E+01,-5.57E-02
2.03E+01,-4.94E-02
2.03E+01,-6.12E-02
2.03E+01,-8.68E-02
2.04E+01,-7.74E-02
2.04E+01,-7.23E-02
