t,x
9.59E+00,7.31E-02
9.61E+00,8.82E-02
9.63E+00,9.60E-02
9.64E+00,8.08E-02
9.66E+00,4.25E-02
9.68E+00,5.80E-02
9.69E+00,6.57E-02
9.71E+00,5.04E-02
9.73E+00,1.18E-02
9.74E+00,2.71E-02
9.76E+00,3.50E-02
9.78E+00,1.94E-02
9.79E+00,-1.78E-02
9.81E+00,-3.15E-03
9.83E+00,4.13E-03
9.84E+00,-1.05E-02
9.86E+00,-4.53E-02
9.88E+00,-3.19E-02
9.89E+00,-2.49E-02
9.91E+00,-3.90E-02
9.93E+00,-7.03E-02
9.94E+00,-5.84E-02
9.96E+00,-5.23E-02
9.98E+00,-6.48E-02
9.99E+00,-9.18E-02
1.00E+01,-8.12E-02
1.00E+01,-7.61E-02
1.00E+01,-8.67E-02
1.01E+01,-1.09E-01
1.01E+01,-1.01E-01
1.01E+01,-9.68E-02
1.01E+01,-1.06E-01
1.01E+01,-1.13E-01
1.01E+01,-1.08E-01
1.02E+01,-1.13E-01
1.02E+01,-1.20E-01
1.02E+01,-1.30E-01
1.02E+01,-1.27E-01
1.02E+01,-1.24E-01
1.02E+01,-1.28E-01
1.03E+01,-1.34E-01
1.03E+01,-1.33E-01
1.03E+01,-1.31E-01
1.03E+01,-1.33E-01
1.03E+01,-1.34E-01
1.03E+01,-1.34E-01
1.04E+01,-1.34E-01
1.04E+01,-1.34E-01
1.04E+01,-1.27E-01
1.04E+01,-1.31E-01
1.04E+01,-1.33E-01
1.04E+01,-1.29E-01
1.05E+01,-1.16E-01
1.05E+01,-1.22E-01
1.05E+01,-1.25E-01
1.05E+01,-1.20E-01
1.05E+01,-1.02E-01
1.05E+01,-1.10E-01
1.06E+01,-1.13E-01
1.06E+01,-1.06E-01
1.06E+01,-8.39E-02
1.06E+01,-9.33E-02
1.06E+01,-9.77E-02
1.06E+01,-8.88E-02
1.07E+01,-6.14E-02
1.07E+01,-7.31E-02
1.07E+01,-7.84E-02
1.07E+01,-6.72E-02
1.07E+01,-3.58E-02
1.07E+01,-4.90E-02
1.08E+01,-5.57E-02
1.08E+01,-4.25E-02
1.08E+01,-8.86E-03
1.08E+01,-2.26E-02
1.08E+01,-2.93E-02
1.08E+01,-1.55E-02
1.09E+01,1.90E-02
1.09E+01,5.05E-03
1.09E+01,-2.02E-03
1.09E+01,1.24E-02
1.09E+01,4.90E-02
1.09E+01,3.41E-02
1.10E+01,2.66E-02
1.10E+01,4.12E-02
1.10E+01,7.87E-02
1.10E+01,6.39E-02
1.10E+01,5.66E-02
1.10E+01,7.14E-02
1.11E+01,1.07E-01
1.11E+01,9.31E-02
1.11E+01,8.63E-02
1.11E+01,1.00E-01
1.11E+01,1.34E-01
1.11E+01,1.21E-01
1.12E+01,1.14E-01
1.12E+01,1.27E-01
1.12E+01,1.58E-01
1.12E+01,1.46E-01
1.12E+01,1.40E-01
1.12E+01,1.52E-01
1.13E+01,1.80E-01
1.13E+01,1.70E-01
1.13E+01,1.64E-01
1.13E+01,1.75E-01
1.13E+01,1.98E-01
1.13E+01,1.90E-01
1.14E+01,1.85E-01
1.14E+01,1.94E-01
1.14E+01,2.12E-01
1.14E+01,2.06E-01
1.14E+01,2.02E-01
1.14E+01,2.09E-01
1.15E+01,2.22E-01
1.15E+01,2.18E-01
1.15E+01,2.15E-01
1.15E+01,2.20E-01
1.15E+01,2.28E-01
1.15E+01,2.26E-01
1.16E+01,2.24E-01
1.16E+01,2.27E-01
1.16E+01,2.29E-01
1.16E+01,2.29E-01
1.16E+01,2.29E-01
1.16E+01,2.29E-01
1.17E+01,2.25E-01
1.17E+01,2.27E-01
1.17E+01,2.28E-01
1.17E+01,2.26E-01
1.17E+01,2.17E-01
1.17E+01,2.21E-01
1.18E+01,2.23E-01
1.18E+01,2.19E-01
1.18E+01,2.04E-01
1.18E+01,2.11E-01
1.18E+01,2.14E-01
1.18E+01,2.08E-01
1.19E+01,1.87E-01
1.19E+01,1.96E-01
1.19E+01,2.01E-01
1.19E+01,1.92E-01
1.19E+01,1.67E-01
1.19E+01,1.77E-01
1.20E+01,1.82E-01
1.20E+01,1.72E-01
1.20E+01,1.43E-01
1.20E+01,1.55E-01
1.20E+01,1.61E-01
1.20E+01,1.50E-01
1.21E+01,1.17E-01
1.21E+01,1.31E-01
1.21E+01,1.37E-01
1.21E+01,1.24E-01
1.21E+01,8.91E-02
1.21E+01,1.04E-01
1.22E+01,1.10E-01
1.22E+01,9.67E-02
1.22E+01,5.98E-02
1.22E+01,7.50E-02
1.22E+01,8.21E-02
1.22E+01,6.76E-02
1.23E+01,3.11E-02
1.23E+01,4.57E-02
1.23E+01,5.29E-02
1.23E+01,3.82E-02
1.23E+01,2.53E-03
1.23E+01,1.67E-02
1.24E+01,2.38E-02
1.24E+01,9.22E-03
1.24E+01,-2.55E-02
1.24E+01,-1.17E-02
1.24E+01,-4.57E-03
1.24E+01,-1.87E-02
1.25E+01,-5.18E-02
1.25E+01,-3.89E-02
1.25E+01,-3.23E-02
1.25E+01,-4.52E-02
1.25E+01,-7.45E-02
1.25E+01,-6.37E-02
1.26E+01,-5.75E-02
1.26E+01,-6.90E-02
1.26E+01,-9.38E-02
1.26E+01,-8.45E-02
1.26E+01,-7.95E-02
1.26E+01,-8.94E-02
1.27E+01,-1.10E-01
1.27E+01,-1.02E-01
1.27E+01,-9.82E-02
1.27E+01,-1.06E-01
1.27E+01,-1.22E-01
1.27E+01,-1.17E-01
1.28E+01,-1.13E-01
1.28E+01,-1.19E-01
1.28E+01,-1.29E-01
1.28E+01,-1.26E-01
1.28E+01,-1.24E-01
1.28E+01,-1.28E-01
1.29E+01,-1.32E-01
1.29E+01,-1.31E-01
1.29E+01,-1.31E-01
1.29E+01,-1.31E-01
1.29E+01,-1.30E-01
1.29E+01,-1.31E-01
1.30E+01,-1.31E-01
1.30E+01,-1.31E-01
1.30E+01,-1.23E-01
1.30E+01,-1.27E-01
1.30E+01,-1.28E-01
1.30E+01,-1.25E-01
1.31E+01,-1.11E-01
1.31E+01,-1.18E-01
1.31E+01,-1.20E-01
1.31E+01,-1.14E-01
1.31E+01,-9.54E-02
1.31E+01,-1.04E-01
1.32E+01,-1.08E-01
1.32E+01,-9.95E-02
1.32E+01,-7.65E-02
1.32E+01,-8.65E-02
1.32E+01,-9.13E-02
1.32E+01,-8.16E-02
1.33E+01,-5.42E-02
1.33E+01,-6.58E-02
1.33E+01,-7.15E-02
1.33E+01,-6.02E-02
1.33E+01,-2.87E-02
1.33E+01,-4.18E-02
1.34E+01,-4.85E-02
1.34E+01,-3.56E-02
1.34E+01,-1.51E-03
1.34E+01,-1.54E-02
1.34E+01,-2.20E-02
1.34E+01,-8.44E-03
1.35E+01,2.70E-02
1.35E+01,1.25E-02
1.35E+01,5.36E-03
1.35E+01,1.95E-02
1.35E+01,5.59E-02
1.35E+01,4.11E-02
1.36E+01,3.40E-02
1.36E+01,4.84E-02
1.36E+01,8.50E-02
1.36E+01,7.05E-02
1.36E+01,6.32E-02
1.36E+01,7.77E-02
1.37E+01,1.13E-01
1.37E+01,9.89E-02
1.37E+01,9.16E-02
1.37E+01,1.06E-01
1.37E+01,1.39E-01
1.37E+01,1.26E-01
1.38E+01,1.19E-01
1.38E+01,1.33E-01
1.38E+01,1.62E-01
1.38E+01,1.51E-01
1.38E+01,1.45E-01
1.38E+01,1.57E-01
1.39E+01,1.83E-01
1.39E+01,1.73E-01
1.39E+01,1.68E-01
1.39E+01,1.79E-01
1.39E+01,2.00E-01
1.39E+01,1.92E-01
1.40E+01,1.88E-01
1.40E+01,1.97E-01
1.40E+01,2.14E-01
1.40E+01,2.08E-01
1.40E+01,2.04E-01
1.40E+01,2.11E-01
1.41E+01,2.23E-01
1.41E+01,2.19E-01
1.41E+01,2.17E-01
1.41E+01,2.21E-01
1.41E+01,2.27E-01
1.41E+01,2.26E-01
1.42E+01,2.25E-01
1.42E+01,2.27E-01
1.42E+01,2.27E-01
1.42E+01,2.28E-01
1.42E+01,2.28E-01
1.42E+01,2.28E-01
1.43E+01,2.22E-01
1.43E+01,2.25E-01
1.43E+01,2.26E-01
1.43E+01,2.24E-01
1.43E+01,2.13E-01
1.43E+01,2.18E-01
1.44E+01,2.20E-01
1.44E+01,2.16E-01
1.44E+01,1.99E-01
1.44E+01,2.07E-01
1.44E+01,2.10E-01
1.44E+01,2.03E-01
1.45E+01,1.82E-01
1.45E+01,1.91E-01
1.45E+01,1.95E-01
1.45E+01,1.86E-01
1.45E+01,1.60E-01
1.45E+01,1.71E-01
1.46E+01,1.77E-01
1.46E+01,1.66E-01
1.46E+01,1.36E-01
1.46E+01,1.49E-01
1.46E+01,1.54E-01
1.46E+01,1.42E-01
1.47E+01,1.09E-01
1.47E+01,1.23E-01
1.47E+01,1.29E-01
1.47E+01,1.16E-01
1.47E+01,8.16E-02
1.47E+01,9.58E-02
1.48E+01,1.02E-01
1.48E+01,8.87E-02
1.48E+01,5.22E-02
1.48E+01,6.68E-02
1.48E+01,7.42E-02
1.48E+01,5.95E-02
1.49E+01,2.34E-02
1.49E+01,3.79E-02
1.49E+01,4.51E-02
1.49E+01,3.03E-02
1.49E+01,-5.01E-03
1.49E+01,8.99E-03
1.50E+01,1.64E-02
1.50E+01,2.13E-03
1.50E+01,-3.19E-02
1.50E+01,-1.85E-02
1.50E+01,-1.17E-02
1.50E+01,-2.51E-02
1.51E+01,-5.67E-02
1.51E+01,-4.46E-02
1.51E+01,-3.79E-02
1.51E+01,-5.08E-02
1.51E+01,-7.86E-02
1.51E+01,-6.82E-02
1.52E+01,-6.28E-02
1.52E+01,-7.36E-02
1.52E+01,-9.73E-02
1.52E+01,-8.85E-02
1.52E+01,-8.38E-02
1.52E+01,-9.31E-02
1.53E+01,-1.12E-01
1.53E+01,-1.05E-01
1.53E+01,-1.01E-01
1.53E+01,-1.09E-01
1.53E+01,-1.22E-01
1.53E+01,-1.18E-01
1.54E+01,-1.15E-01
1.54E+01,-1.20E-01
1.54E+01,-1.28E-01
1.54E+01,-1.26E-01
1.54E+01,-1.25E-01
1.54E+01,-1.27E-01
1.55E+01,-1.30E-01
1.55E+01,-1.29E-01
1.55E+01,-1.29E-01
1.55E+01,-1.30E-01
1.55E+01,-1.26E-01
1.55E+01,-1.29E-01
1.56E+01,-1.29E-01
1.56E+01,-1.27E-01
1.56E+01,-1.18E-01
1.56E+01,-1.23E-01
1.56E+01,-1.24E-01
1.56E+01,-1.20E-01
1.57E+01,-1.06E-01
1.57E+01,-1.12E-01
1.57E+01,-1.15E-01
1.57E+01,-1.09E-01
1.57E+01,-8.91E-02
1.57E+01,-9.77E-02
1.58E+01,-1.02E-01
1.58E+01,-9.38E-02
1.58E+01,-6.95E-02
1.58E+01,-8.00E-02
1.58E+01,-8.49E-02
1.59E+01,-7.49E-02
1.59E+01,-4.62E-02
1.59E+01,-5.82E-02
1.59E+01,-6.42E-02
1.59E+01,-5.28E-02
1.59E+01,-2.08E-02
1.60E+01,-3.40E-02
1.60E+01,-4.04E-02
1.60E+01,-2.73E-02
1.60E+01,6.83E-03
1.60E+01,-6.83E-03
1.60E+01,-1.38E-02
1.61E+01,-1.94E-04
1.61E+01,3.55E-02
1.61E+01,2.11E-02
1.61E+01,1.41E-02
1.61E+01,2.84E-02
1.61E+01,6.44E-02
1.62E+01,4.97E-02
1.62E+01,4.26E-02
1.62E+01,5.72E-02
1.62E+01,9.27E-02
1.62E+01,7.86E-02
1.62E+01,7.12E-02
1.63E+01,8.55E-02
1.63E+01,1.20E-01
1.63E+01,1.06E-01
1.63E+01,9.95E-02
1.63E+01,1.13E-01
1.63E+01,1.45E-01
1.64E+01,1.33E-01
1.64E+01,1.26E-01
1.64E+01,1.39E-01
1.64E+01,1.68E-01
1.64E+01,1.57E-01
1.64E+01,1.51E-01
1.65E+01,1.62E-01
1.65E+01,1.87E-01
1.65E+01,1.78E-01
1.65E+01,1.73E-01
1.65E+01,1.83E-01
1.65E+01,2.03E-01
1.66E+01,1.96E-01
1.66E+01,1.91E-01
1.66E+01,2.00E-01
1.66E+01,2.15E-01
1.66E+01,2.10E-01
1.66E+01,2.07E-01
1.67E+01,2.12E-01
1.67E+01,2.23E-01
1.67E+01,2.20E-01
1.67E+01,2.18E-01
1.67E+01,2.22E-01
1.67E+01,2.26E-01
1.68E+01,2.25E-01
1.68E+01,2.24E-01
1.68E+01,2.26E-01
1.68E+01,2.25E-01
1.68E+01,2.26E-01
1.68E+01,2.26E-01
1.69E+01,2.26E-01
1.69E+01,2.19E-01
1.69E+01,2.22E-01
1.69E+01,2.24E-01
1.69E+01,2.21E-01
1.69E+01,2.08E-01
1.70E+01,2.14E-01
1.70E+01,2.17E-01
1.70E+01,2.11E-01
1.70E+01,1.94E-01
1.70E+01,2.01E-01
1.70E+01,2.05E-01
1.71E+01,1.98E-01
1.71E+01,1.75E-01
1.71E+01,1.85E-01
1.71E+01,1.89E-01
1.71E+01,1.80E-01
1.71E+01,1.54E-01
1.72E+01,1.65E-01
1.72E+01,1.70E-01
1.72E+01,1.59E-01
1.72E+01,1.29E-01
1.72E+01,1.41E-01
1.72E+01,1.47E-01
1.73E+01,1.35E-01
1.73E+01,1.02E-01
1.73E+01,1.15E-01
1.73E+01,1.22E-01
1.73E+01,1.09E-01
1.73E+01,7.38E-02
1.74E+01,8.80E-02
1.74E+01,9.51E-02
1.74E+01,8.11E-02
1.74E+01,4.53E-02
1.74E+01,5.98E-02
1.74E+01,6.72E-02
1.75E+01,5.26E-02
1.75E+01,1.68E-02
1.75E+01,3.07E-02
1.75E+01,3.81E-02
1.75E+01,2.36E-02
1.75E+01,-1.14E-02
1.76E+01,2.19E-03
1.76E+01,9.10E-03
1.76E+01,-4.57E-03
1.76E+01,-3.79E-02
1.76E+01,-2.51E-02
1.76E+01,-1.83E-02
1.77E+01,-3.16E-02
1.77E+01,-6.19E-02
1.77E+01,-4.99E-02
1.77E+01,-4.41E-02
1.77E+01,-5.61E-02
1.77E+01,-8.31E-02
1.78E+01,-7.29E-02
1.78E+01,-6.74E-02
1.78E+01,-7.80E-02
1.78E+01,-1.00E-01
1.78E+01,-9.19E-02
1.78E+01,-8.74E-02
1.79E+01,-9.63E-02
1.79E+01,-1.14E-01
1.79E+01,-1.07E-01
1.79E+01,-1.03E-01
1.79E+01,-1.10E-01
1.79E+01,-1.23E-01
1.80E+01,-1.19E-01
1.80E+01,-1.16E-01
1.80E+01,-1.21E-01
1.80E+01,-1.28E-01
1.80E+01,-1.26E-01
1.80E+01,-1.24E-01
1.81E+01,-1.27E-01
1.81E+01,-1.28E-01
1.81E+01,-1.28E-01
1.81E+01,-1.28E-01
1.81E+01,-1.28E-01
1.81E+01,-1.23E-01
1.82E+01,-1.25E-01
1.82E+01,-1.26E-01
1.82E+01,-1.24E-01
1.82E+01,-1.14E-01
1.82E+01,-1.19E-01
1.82E+01,-1.21E-01
1.83E+01,-1.16E-01
1.83E+01,-1.00E-01
1.83E+01,-1.07E-01
1.83E+01,-1.10E-01
1.83E+01,-1.04E-01
1.83E+01,-8.29E-02
1.84E+01,-9.21E-02
1.84E+01,-9.62E-02
1.84E+01,-8.75E-02
1.84E+01,-6.24E-02
1.84E+01,-7.30E-02
1.84E+01,-7.80E-02
1.85E+01,-6.76E-02
1.85E+01,-3.83E-02
1.85E+01,-5.05E-02
1.85E+01,-5.65E-02
1.85E+01,-4.46E-02
1.85E+01,-1.24E-02
1.86E+01,-2.57E-02
1.86E+01,-3.27E-02
1.86E+01,-1.96E-02
